"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81"
"1",0,1,1,0,0,-1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,-1,1,0,0,1,1,1,-1,1,1,1,0,1,-1,0,-1,-1,0,0,1,1,0,1,1,1,1,1,0,-1,1,1,1,1,1,1,1,0,-1,-1,-1,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0
"2",0,0,1,1,1,0,1,0,0,0,1,1,-1,1,1,0,1,-1,0,-1,0,1,0,1,1,-1,0,1,0,0,0,1,1,0,0,0,0,1,1,-1,1,1,0,1,1,1,1,0,1,1,1,0,-1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1
"3",0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,-1,1,-1,1,1,1,1,-1,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,1,1,0,1,1,1,0,0,1,1,1,0,0,1,1,0,1,-1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1
"4",1,0,0,0,1,0,1,0,1,1,0,1,1,1,1,0,0,0,1,-1,0,1,0,1,0,-1,1,0,0,1,1,1,0,1,0,1,1,1,1,-1,1,0,1,1,-1,0,1,1,1,1,0,1,0,1,1,-1,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1,-1,1,1,0,0,0,0,1,1,-1
"5",0,-1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,-1,0,1,0,0,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,-1,1,0,0,0,0,0,0,1,0,-1,1,1,1,1,0,1,-1,1,0,1,1,1,1,0,1,1,1,1
"6",0,-1,1,1,1,0,1,1,0,-1,0,1,0,1,1,-1,0,0,0,1,-1,1,1,0,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,0,-1,1,0,1,1,0,1,-1,-1,1,0,1,0,0,1,-1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1
"7",0,0,1,1,-1,0,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,-1,1,1,1,0,1,1,0,1,0,1,1,1,0,-1,1,1,1,0,1,-1,1,1,0,1,1,1,1,1,-1,1,-1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,-1,1,1,1,1,0,1,1
"8",1,1,1,0,0,-1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,-1,1,1,1,1,1,0,1,1,-1,0,0,1,1,1,-1,-1,0,1,0,-1,1,0,1,1,0,1,-1,1,1,1,0,-1,1,1,-1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,-1,1,0,0,0,1,0,1,1,0
"9",1,0,1,0,0,0,0,1,0,-1,1,0,1,1,1,0,0,0,0,1,-1,1,1,-1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,1,0,1,0,1,0,1,1,1,1,-1,1,0,1,0,1,1,1,1,-1,0,0,1,1,1,1,1,0,1,1,-1,1,1,1,0,0,0,0,0,0,1,1
"10",0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,-1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,0
"11",1,0,0,1,1,0,1,1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1,1,1,0,1,0,0,-1,1,0,-1,1,-1,1,0,-1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1
"12",1,1,0,1,-1,0,1,1,0,0,1,1,0,1,0,1,1,-1,1,0,-1,1,1,1,1,1,1,1,1,-1,1,1,1,0,0,0,0,1,-1,1,-1,1,0,1,1,1,1,-1,1,1,1,1,1,0,1,1,0,0,-1,0,0,1,1,1,1,1,-1,1,0,1,0,0,1,1,1,1,0,1,0,1,0
"13",0,0,-1,1,1,-1,1,1,0,0,0,1,-1,1,1,-1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,-1,-1,1,1,0,-1,1,1,1,0,-1,1,0,1,1,1,1,0,0,-1,1,1,0,1,-1,0,1,0,-1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
"14",1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,-1,1,0,1,1,1,1,1,1,1,-1,1,1,0,0,1,0,0,-1,-1,-1,1,1,1,1,0,1,1,-1,0,0,0,1,0,1,0,0,1,1,1,-1,1,-1,0,1,1,0,0,0,-1,0,-1,1,1,0,1,1,0,0,1,0,1,1,0
"15",1,1,1,-1,1,-1,0,1,1,-1,0,1,0,0,1,0,0,0,1,1,-1,1,0,1,1,1,1,0,0,1,0,0,1,0,1,0,-1,1,0,1,0,0,1,1,1,1,0,-1,1,0,1,1,1,0,1,1,0,0,-1,0,1,1,1,0,1,1,0,1,0,1,1,-1,0,0,0,0,1,0,0,1,-1
